WKT,id,shear_stre
"POLYGON ((-143877.507560484926216 -856394.463205644278787,-131847.174899194593308 -855128.112399192643352,-136595.990423388167983 -877289.251512095914222,-142927.744455646228744 -888053.233366934582591,-151475.612399194622412 -901349.916834676638246,-150209.261592743016081 -911797.310987902455963,-143244.332157259137603 -917812.477318547549658,-145143.858366936561652 -924144.231350805610418,-148626.323084678500891 -939023.853326612152159,-147043.384576613985701 -951687.361391128273681,-151475.612399194622412 -955486.413810483179986,-152741.963205646257848 -945672.195060483179986,-152425.375504033348989 -927626.696068547666073,-150209.261592743016081 -919078.828124999185093,-158123.954133065621136 -912113.898689515306614,-156224.427923388197087 -902616.267641128273681,-153375.138608872046461 -889002.996471773367375,-145143.858366936561652 -877289.251512095914222,-143877.507560484926216 -856394.463205644278787))",,110000
"POLYGON ((-122666.131552420396474 -845630.481350805494003,-98288.878528226807248 -842781.192036289372481,-98288.878528226807248 -842781.192036289372481,-95756.176915323580033 -855444.700100805610418,-90057.598286291307886 -869374.558971773367375,-84042.431955646141432 -876022.900705644278787,-82776.081149194520549 -889319.584173386218026,-79926.791834678384475 -904199.206149192759767,-72645.274697581597138 -909264.609374999185093,-80559.967237904202193 -914330.012600805610418,-77710.67792338806612 -927943.283770160516724,-70429.160786291278782 -945355.60735887021292,-73911.625504033218022 -954536.650705644395202,-80559.967237904202193 -949787.835181450820528,-77394.090221775157261 -958019.115423386334442,-68846.222278226763592 -959602.053931450936943,-52067.074092742870562 -977330.96522177348379,-43202.618447581568034 -988728.122479838086292,-54916.363407258992083 -982396.368447579909116,-71062.336189517081948 -977647.552923386450857,-79926.791834678384475 -974798.26360887021292,-81826.318044355808524 -990311.060987902572379,-83092.668850807429408 -982396.368447579909116,-87208.308971775171813 -969099.684979837969877,-90374.185987904216745 -958335.703124999301508,-89424.42288306550472 -950737.598286289605312,-89424.42288306550472 -929526.22227822500281,-93223.475302420338267 -919712.00352822500281,-100188.404737904231297 -913380.24949596694205,-102087.930947581655346 -901983.092237902339548,-106836.746471775200916 -894384.987399192759767,-110952.386592742957873 -883304.417842741124332,-116334.377520162321161 -880771.716229837853462,-109369.448084678442683 -877289.251512095914222,-104304.044858871973702 -891535.698084676638246,-97972.290826613898389 -899133.802923386218026,-94173.238407259050291 -911797.310987902455963,-89424.42288306550472 -915912.95110887021292,-88791.247479839687003 -907048.495463708881289,-92273.712197581640794 -884887.356350805610418,-103037.69405242036737 -877922.42691532173194,-108419.684979839730659 -871274.085181450704113,-113168.500504033276229 -858610.577116934582591,-122666.131552420396474 -845630.481350805494003))",,150000
"POLYGON ((-54283.188004033174366 -853545.173891128157265,-35604.513608871871838 -844364.130544353974983,-35604.513608871871838 -844364.130544353974983,-19458.540826613781974 -858293.98941532173194,-11543.848286291176919 -880771.716229837853462,1436.247479837882565 -888053.233366934582591,6185.063004031428136 -906731.907762095914222,13149.992439515306614 -926043.757560483063571,14416.34324596694205 -941873.142641128273681,13149.992439515306614 -953270.299899192759767,6818.238407257245854 -951054.185987902455963,8401.176915321761044 -941556.55493951542303,7451.413810483034467 -933325.274697579909116,2702.598286289488897 -936174.564012096030638,1436.247479837882565 -929209.634576612152159,-3629.155745968571864 -921294.942036289488897,-7428.208165323419962 -926043.757560483063571,-10277.497479839570588 -937440.914818547666073,-14076.549899194418686 -931425.748487902455963,-15976.076108871842735 -913063.661794353974983,-26740.057963710569311 -887736.64566532173194,-31172.285786291206023 -873173.611391128157265,-41619.67993951702374 -863675.980342741007917,-54283.188004033174366 -853545.173891128157265))",,150000
"POLYGON ((192655.219254031777382 -955169.826108870096505,193921.570060483412817 -941239.967237902339548,211017.305947580200154 -925410.582157257245854,221148.112399193109013 -918445.652721773367375,238877.023689515772276 -905148.969254031311721,267369.916834677103907 -889952.759576611919329,281932.951108870678581 -872223.848286289372481,308526.318044354615267 -834233.324092740891501,333220.158770161040593 -825368.868447579676285,337019.211189515946899 -833600.148689515073784,315491.247479838493746 -851962.235383063554764,297762.336189515830483 -881721.479334676405415,276234.37247983837733 -900083.566028224886395,259771.811995967407711 -920978.35433467652183,249641.005544354498852 -932375.511592741124332,252806.882560483529232 -912113.898689515190199,238243.848286289954558 -928576.459173386218026,209750.955141128622927 -943772.668850805610418,202786.025705644744448 -964667.457157257245854,192655.219254031777382 -974798.263608870096505,192655.219254031777382 -974798.263608870096505,192655.219254031777382 -955169.826108870096505))",,90000
"POLYGON ((224313.989415322197601 -819037.114415321499109,240776.549899193167221 -839931.902721773134544,240776.549899193167221 -839931.902721773134544,216715.884576612501405 -858927.164818547433242,203419.201108870503958 -872857.023689515190199,208484.604334676987492 -900716.741431450704113,221148.112399193109013 -918445.652721773367375,211017.305947580200154 -925410.582157257245854,204685.551915322139394 -912747.074092741007917,189489.342237902747001 -904515.793850805494003,190755.693044354382437 -892485.461189515190199,190755.693044354382437 -877922.426915321615525,177459.009576612443198 -874756.549899192526937,157830.57207661238499 -888053.233366934582591,157197.396673386567272 -908314.846270160400309,153398.344254031719174 -928576.459173386218026,130604.029737902688794 -945672.195060483063571,133136.731350805901457 -933641.862399192643352,148966.116431451111566 -919078.828124999068677,151498.818044354324229 -903882.618447579676285,150865.642641128506511 -883621.005544353858568,169227.729334676929284 -869691.146673386101611,186956.640624999534339 -868424.795866934466176,212916.832157257653307 -838032.376512095797807,224313.989415322197601 -819037.114415321499109))",,90000
"POLYGON ((-582684.177149200811982 -1123636.64321225322783,-555556.025869493256323 -1131710.497759785270318,-535855.820773515268229 -1135908.902124501764774,-520676.97422415507026 -1133648.222851192811504,-480953.609850297681987 -1125897.3224855621811,-456086.137843899137806 -1134294.131214995402843,-452210.687661083764397 -1155609.107220479985699,-437031.841111723682843 -1167558.411950827343389,-432510.482565105718095 -1147212.298491046531126,-417654.590197646874003 -1148181.161036750534549,-396985.522555964998901 -1157869.786493788938969,-379223.042551394551992 -1190165.204683916876093,-365981.92109344212804 -1213740.859962710179389,-355970.341454502427951 -1238931.286151010077447,-353709.66218119347468 -1251203.545063258614391,-379223.042551394551992 -1255078.995246074162424,-375993.500732381769922 -1280592.375616275239736,-385036.217825617641211 -1285759.642526695504785,-435094.116020315967035 -1278008.742161064874381,-459638.633844813215546 -1271872.612704940605909,-484829.060033112997189 -1261538.07888409961015,-485474.968396915588528 -1245067.415607134345919,-500976.769128177023958 -1244421.50724333175458,-516801.524041339755058 -1253141.270154666388407,-533272.187318305019289 -1249911.728335653664544,-535855.820773515268229 -1238285.377787207486108,-542960.812775343423709 -1220845.851964538451284,-561369.201143716345541 -1214386.768326512770727,-577193.956056879018433 -1209219.501416092272848,-581069.406239694333635 -1203729.280323770595714,-560077.384416111162864 -1200176.784322856459767,-561369.201143716345541 -1190165.204683916876093,-575902.139329273952171 -1196301.334140041144565,-591403.940060535329394 -1191457.02141152205877,-603353.244790882687084 -1149472.977764355484396,-603030.290608981391415 -1129126.864304574904963,-603030.290608981391415 -1129126.864304574904963,-582684.177149200811982 -1123636.64321225322783))",,130000
"POLYGON ((-300745.176349383895285 -904673.707883186289109,-285889.283981924992986 -920175.508614447782747,-281367.925435307086445 -977661.352992875501513,-258115.224338414962403 -1038376.739190316060558,-245197.057062363775913 -1078423.057746074860916,-254885.682519402122125 -1112656.201027610339224,-287827.009073332650587 -1094570.766841138713062,-307204.259987409459427 -1065504.890470023499802,-349834.211998378392309 -1035793.105735105928034,-382775.538552308920771 -1013832.221365818870254,-411195.506559621542692 -981536.803175690816715,-360168.74581921932986 -941490.484619932249188,-300745.176349383895285 -904673.707883186289109))",,120000
"POLYGON ((-582684.177149200811982 -1123636.64321225322783,-573318.505874063819647 -1107488.934117189841345,-477078.159667482483201 -1092633.041749730939046,-429280.940746093110647 -1099738.033751559210941,-361460.562546824337915 -1127512.093395069241524,-318184.702172052871902 -1177247.037407866213471,-316892.885444447747432 -1215355.630872217239812,-309141.98507881705882 -1248942.865789950359613,-272971.116705873748288 -1272195.566886842483655,-271033.391614466032479 -1316763.243989219190553,-303974.718168396560941 -1312887.793806403875351,-312260.420706139411777 -1309280.549270493909717,-340169.451961580431089 -1296827.159592780051753,-375993.500732381769922 -1280592.375616275239736,-379223.042551394551992 -1255078.995246074162424,-353709.66218119347468 -1251203.545063258614391,-355970.341454502427951 -1238931.286151010077447,-365981.92109344212804 -1213740.859962710179389,-379223.042551394551992 -1190165.204683916876093,-396985.522555964998901 -1157869.786493788938969,-417654.590197646874003 -1148181.161036750534549,-432510.482565105718095 -1147212.298491046531126,-437031.841111723682843 -1167558.411950827343389,-452210.687661083764397 -1155609.107220479985699,-456086.137843899137806 -1134294.131214995402843,-480953.609850297681987 -1125897.3224855621811,-520676.97422415507026 -1133648.222851192811504,-535855.820773515268229 -1135908.902124501764774,-555556.025869493256323 -1131710.497759785270318,-582684.177149200811982 -1123636.64321225322783))",,100000
"POLYGON ((-573318.505874063819647 -1107488.934117189841345,-411195.506559621542692 -981536.803175690816715,-382775.538552308920771 -1013832.221365818870254,-349834.211998378392309 -1035793.105735105928034,-307204.259987409459427 -1065504.890470023499802,-287827.009073332650587 -1094570.766841138713062,-254885.682519402122125 -1112656.201027610339224,-177376.678863094944973 -1160453.41994899976999,-272971.116705873748288 -1272195.566886842483655,-309141.98507881705882 -1248942.865789950359613,-316892.885444447747432 -1215355.630872217239812,-318184.702172052871902 -1177247.037407866213471,-361460.562546824337915 -1127512.093395069241524,-429280.940746093110647 -1099738.033751559210941,-477078.159667482483201 -1092633.041749730939046,-573318.505874063819647 -1107488.934117189841345))",,100000
"POLYGON ((-300745.176349383895285 -904673.707883186289109,-276200.658524886704981 -885296.456969109247439,-261990.674521230394021 -940198.66789232683368,-242613.423607153614284 -1002205.870817372458987,-176084.862135489995126 -1046773.54791974904947,-141851.718853954342194 -1102967.575570571701974,-106972.667208616156131 -1159161.603221394354478,-177376.678863094944973 -1160453.41994899976999,-254885.682519402122125 -1112656.201027610339224,-245197.057062363775913 -1078423.057746074860916,-258115.224338414962403 -1038376.739190316060558,-281367.925435307086445 -977661.352992875501513,-285889.283981924992986 -920175.508614447782747,-300745.176349383895285 -904673.707883186289109))",,120000
